TSCode	TripCode	LineCode	RecordedTime	Longitude	Latitude	Count
A003	1281421	54	2021-09-20T14:19:37	71.4278946	51.11704	30
A003	1281421	54	2021-09-20T14:20:32	71.4271545	51.1148949	30
A003	1281421	54	2021-09-20T14:21:15	71.4269257	51.11426	30
A003	1281421	54	2021-09-20T14:22:16	71.4275742	51.1138039	30
A003	1281421	54	2021-09-20T14:23:28	71.4324341	51.1130753	30
A003	1281421	54	2021-09-20T14:24:30	71.4324341	51.1130753	30
A003	1281421	54	2021-09-20T14:25:22	71.4324341	51.1118469	30
A003	1281421	54	2021-09-20T14:26:38	71.43093	51.1075974	30
A003	1281421	54	2021-09-20T14:27:44	71.43052	51.1059341	30
A003	1281421	54	2021-09-20T14:28:46	71.42855	51.1004372	30
A003	1281421	54	2021-09-20T14:29:19	71.4278	51.09885	30
A003	1281421	54	2021-09-20T14:30:12	71.4270554	51.09612	30
A003	1281421	54	2021-09-20T14:31:19	71.4276352	51.0953522	30
A003	1281421	54	2021-09-20T14:32:51	71.43774	51.09391	30
A003	1281421	54	2021-09-20T14:33:48	71.44234	51.09326	30
A003	1281421	54	2021-09-20T14:34:21	71.44285	51.0931931	30
A003		54	2021-09-20T14:35:28	71.4487	51.0924263	30
A003		54	2021-09-20T14:36:29	71.44751	51.09275	30
A003	1281423	54	2021-09-20T14:37:37	71.44681	51.0929222	30
A003	1281423	54	2021-09-20T14:37:56	71.4463348	51.0929527	21
A003	1281423	54	2021-09-20T14:39:34	71.44119	51.0937233	21
A003	1281423	54	2021-09-20T14:40:42	71.4376755	51.09417	12
A003	1281423	54	2021-09-20T14:41:57	71.43096	51.095108	12
A003	1281423	54	2021-09-20T14:42:28	71.42957	51.095295	12
A003	1281423	54	2021-09-20T14:43:13	71.4288559	51.09544	12
A003	1281423	54	2021-09-20T14:43:42	71.42731	51.09581	12
A003	1281423	54	2021-09-20T14:45:32	71.42916	51.1007767	17
A003	1281423	54	2021-09-20T14:46:34	71.4302	51.10353	17
A003	1281423	54	2021-09-20T14:47:36	71.4323959	51.1097832	17
A003	1281423	54	2021-09-20T14:48:28	71.4329453	51.1122246	20
A003	1281423	54	2021-09-20T14:49:23	71.43191	51.1133957	20
A003	1281423	54	2021-09-20T14:50:05	71.42895	51.1137543	31
A003	1281423	54	2021-09-20T14:51:22	71.42702	51.11436	31
A003	1281423	54	2021-09-20T14:52:59	71.428215	51.1174622	13
A003	1281423	54	2021-09-20T14:53:52	71.42897	51.1194153	13
A003	1281423	54	2021-09-20T14:54:16	71.42923	51.1200676	13
A003	1281423	54	2021-09-20T14:55:31	71.4297	51.120903	31
A003	1281423	54	2021-09-20T14:56:18	71.42983	51.12147	31
A003	1281423	54	2021-09-20T14:57:29	71.43005	51.12237	31
A003	1281423	54	2021-09-20T14:58:35	71.4304657	51.12336	13
A003	1281423	54	2021-09-20T14:58:35	71.4304657	51.12336	31
A003	1281423	54	2021-09-20T15:00:35	71.43311	51.1254	31
A003	1281423	54	2021-09-20T15:01:57	71.43595	51.1249847	5
A003	1281423	54	2021-09-20T15:02:59	71.43595	51.1249847	5
A003	1281423	54	2021-09-20T15:03:29	71.43667	51.1248932	5
A003	1281423	54	2021-09-20T15:04:26	71.43794	51.12548	5
A003	1281423	54	2021-09-20T15:06:13	71.43965	51.12985	5
A003	1281423	54	2021-09-20T15:06:36	71.43985	51.13026	5
A003	1281423	54	2021-09-20T15:07:48	71.43962	51.1325836	5
A003	1281423	54	2021-09-20T15:08:40	71.43149	51.13395	5
A003	1281423	54	2021-09-20T15:09:42	71.43024	51.13417	5
A003	1281423	54	2021-09-20T15:10:04	71.42979	51.13427	5
A003	1281423	54	2021-09-20T15:11:31	71.4228745	51.1354637	5
A003	1281423	54	2021-09-20T15:12:36	71.417244	51.13639	7
A003	1281423	54	2021-09-20T15:14:07	71.40984	51.1372833	7
A003	1281423	54	2021-09-20T15:14:38	71.40956	51.13915	7
A003	1281423	54	2021-09-20T15:15:31	71.41101	51.1427574	7
A003	1281423	54	2021-09-20T15:17:01	71.4117	51.1446152	7
A003	1281423	54	2021-09-20T15:18:10	71.41269	51.1483536	7
A003	1281423	54	2021-09-20T15:18:50	71.4128342	51.15145	7
A003	1281423	54	2021-09-20T15:19:45	71.41281	51.1532021	8
A003	1281423	54	2021-09-20T15:21:09	71.41075	51.1606865	8
A003	1281423	54	2021-09-20T15:21:58	71.41028	51.16222	8
A003	1281423	54	2021-09-20T15:23:06	71.40947	51.16492	8
A003	1281423	54	2021-09-20T15:24:01	71.4091339	51.1659966	8
A003	1281423	54	2021-09-20T15:25:02	71.40874	51.16722	8
A003	1281423	54	2021-09-20T15:25:33	71.40821	51.1691475	8
A003	1281423	54	2021-09-20T15:26:04	71.40805	51.1698036	8
A003	1281423	54	2021-09-20T15:28:14	71.4069061	51.17398	8
